Location,Temp©,Ph,Humidity (%),Air Quality,Day
B6,16.05,5.1,40.51,15,11
C6,16.05,6.3,17.8,15,11
D6,16.05,8.5,32.63,15,11
E6,16.05,8,44.34,15,11
F6,16.05,7.7,76.3,15,11
G6,16.05,4.7,36.91,15,11
A7,16.05,6.4,76.72,15,11
B7,16.05,8.3,73.37,15,11
C7,16.05,8.2,92.56,15,11
D7,16.05,7.4,94.68,15,11
E7,16.05,6,31.6,15,11
F7,16.05,7.1,61.04,15,11
G7,16.05,6.7,58.56,15,11
A8,16.05,5.1,32.09,15,11
B8,16.05,5,13.14,15,11
C8,16.05,8.9,58.44,15,11
D8,16.05,7.3,20.54,15,11
E8,16.05,8,42.21,15,11
F8,16.05,7,46.7,15,11
G8,16.05,3.8,31.16,15,11
A9,16.05,7.6,19.81,15,11
B9,16.05,6.5,16.56,15,11
C9,16.05,7.2,85.01,15,11
D9,16.05,6.6,81.82,15,11
E9,16.05,3.6,66.85,15,11
F9,16.05,6.4,85.11,15,11
G9,16.05,5,50.39,15,11
A0,28.96,3.9,79.72,17,12
B0,28.96,4.9,69.55,17,12
C0,28.96,8.3,83.04,17,12
D0,28.96,8.2,72.19,17,12
E0,28.96,8.9,98.18,17,12
F0,28.96,6.5,30.23,17,12
G0,28.96,5.7,96.26,17,12
A1,28.96,3.6,17.07,17,12
B1,28.96,7.3,85.45,17,12
C1,28.96,8.6,37.01,17,12
D1,28.96,4.5,27.19,17,12
E1,28.96,3.6,78.92,17,12
F1,28.96,8,34.53,17,12
G1,28.96,3.8,95.15,17,12
A2,28.96,8.1,59.7,17,12
B2,28.96,5.3,80.76,17,12
C2,28.96,4.2,86.35,17,12
D2,28.96,4.8,90.23,17,12
E2,28.96,7.5,44.45,17,12
F2,28.96,4.1,14.21,17,12
G2,28.96,8.6,71.44,17,12
A3,28.96,5.5,41.54,17,12
B3,28.96,9,18.2,17,12
C3,28.96,5.1,20,17,12
D3,28.96,7.2,68.19,17,12
E3,28.96,4.1,22.74,17,12
F3,28.96,8.3,35.51,17,12
G3,28.96,5,98.33,17,12
A4,28.96,3.5,48.6,17,12
B4,28.96,7.2,52.33,17,12
C4,28.96,4.6,50.79,17,12
D4,28.96,5.5,68.65,17,12
E4,28.96,5.8,42.1,17,12
F4,28.96,7.2,42.26,17,12
G4,28.96,4,57.36,17,12
A5,28.96,4.5,87.82,17,12
B5,28.96,5.2,40.08,17,12
C5,28.96,8,39.69,17,12
D5,28.96,6.8,28.41,17,12
E5,28.96,5.3,42.41,17,12
F5,28.96,5,77.51,17,12
G5,28.96,6.1,59.72,17,12
A6,28.96,6.2,83.34,17,12
B6,28.96,5.5,40.9,17,12
C6,28.96,6.1,31.64,17,12
D6,28.96,4.7,63.15,17,12
E6,28.96,5.4,69.18,17,12
F6,28.96,8.6,61.77,17,12
G6,28.96,3.9,97.17,17,12
A7,28.96,6.6,63.68,17,12
B7,28.96,8,79.24,17,12
C7,28.96,8.7,54.1,17,12
D7,28.96,7.2,26.01,17,12
E7,28.96,6.7,36.84,17,12
F7,28.96,4.2,76.83,17,12
G7,28.96,7.9,90.57,17,12
A8,28.96,8.5,61.48,17,12
B8,28.96,6.3,63.61,17,12
C8,28.96,8.2,93.48,17,12
D8,28.96,4.8,99.9,17,12
E8,28.96,5.2,35.91,17,12
F8,28.96,8.9,41.34,17,12
G8,28.96,7.2,34.84,17,12
A9,28.96,8.1,11.09,17,12
B9,28.96,7.3,96.34,17,12
C9,28.96,8.1,30.4,17,12
D9,28.96,6.5,84.83,17,12
E9,28.96,5.6,73.56,17,12
F9,28.96,5.1,93.25,17,12
G9,28.96,4.4,47.12,17,12
A0,16.53,5.6,60.61,17,13
B0,16.53,6.4,15.56,17,13
C0,16.53,6.3,28.63,17,13
D0,16.53,8.4,55.49,17,13
E0,16.53,8.1,69.26,17,13
F0,16.53,6.3,98.26,17,13
G0,16.53,8.1,96.65,17,13
A1,16.53,4.7,32.15,17,13
B1,16.53,4.3,14.43,17,13
C1,16.53,6.4,78.45,17,13
D1,16.53,6,51.88,17,13
E1,16.53,6.8,85.65,17,13
F1,16.53,3.8,49.18,17,13
G1,16.53,5.1,52.63,17,13
A2,16.53,4.6,78.71,17,13
B2,16.53,3.5,20.48,17,13
C2,16.53,7.1,14.79,17,13
D2,16.53,3.9,81.73,17,13
E2,16.53,4.6,13.24,17,13
F2,16.53,5.4,96.25,17,13
G2,16.53,4,28.91,17,13
A3,16.53,5.4,15.19,17,13
B3,16.53,6.3,74.24,17,13
C3,16.53,8.2,87.14,17,13
D3,16.53,3.6,73.03,17,13
E3,16.53,6.1,15.39,17,13
F3,16.53,8.8,61.83,17,13
G3,16.53,4.4,80.46,17,13
A4,16.53,8.3,23.38,17,13
B4,16.53,3.9,61.03,17,13
C4,16.53,8.5,54.58,17,13
D4,16.53,8.8,53.34,17,13
E4,16.53,8.5,70.73,17,13
F4,16.53,8.6,26.22,17,13
G4,16.53,6.4,23.75,17,13
A5,16.53,8.9,81.55,17,13
B5,16.53,7.4,20.38,17,13
C5,16.53,6.1,75.14,17,13
D5,16.53,6.7,97.11,17,13
E5,16.53,4.1,68.36,17,13
F5,16.53,6.4,96.16,17,13
G5,16.53,7.9,17.6,17,13
A6,16.53,4,39.76,17,13
B6,16.53,4.5,51.3,17,13
C6,16.53,6.7,31.03,17,13
D6,16.53,7.9,80.54,17,13
E6,16.53,3.9,68.15,17,13
F6,16.53,7.9,43.61,17,13
G6,16.53,4.7,95.79,17,13
A7,16.53,3.7,57.2,17,13
B7,16.53,7.5,32.51,17,13
C7,16.53,8,23.09,17,13
D7,16.53,8.9,64.73,17,13
E7,16.53,5,42.68,17,13
F7,16.53,6.3,82.48,17,13
G7,16.53,7.3,50.37,17,13
A8,16.53,4,73.32,17,13
B8,16.53,7.4,38.12,17,13
C8,16.53,4.7,17.37,17,13
D8,16.53,6.4,18.48,17,13
E8,16.53,3.6,33.73,17,13
F8,16.53,7.7,77.81,17,13
G8,16.53,8.2,60.09,17,13
A9,16.53,6.5,56.34,17,13
B9,16.53,4.9,81.01,17,13
C9,16.53,6.4,60.93,17,13
D9,16.53,7.5,81.13,17,13
E9,16.53,6.7,16.56,17,13
F9,16.53,4.8,70.37,17,13
G9,16.53,3.7,16.5,17,13
A0,18.41,4,89.64,37,14
B0,18.41,4.2,75.95,37,14
C0,18.41,3.6,66.79,37,14
D0,18.41,5.5,94.95,37,14
E0,18.41,6.6,28.97,37,14
F0,18.41,4.1,31.9,37,14
G0,18.41,7.4,63.97,37,14
A1,18.41,6.1,53.28,37,14
B1,18.41,5.6,88.65,37,14
C1,18.41,5.6,29.84,37,14
D1,18.41,5.6,31.71,37,14
E1,18.41,6.3,58.52,37,14
F1,18.41,7.5,57.96,37,14
G1,18.41,8.7,11.9,37,14
A2,18.41,8.6,61.8,37,14
B2,18.41,5.4,60.19,37,14
C2,18.41,7.8,12.9,37,14
D2,18.41,7.1,98.97,37,14
E2,18.41,4.3,78.67,37,14
F2,18.41,4.7,71.35,37,14
G2,18.41,4.5,51.47,37,14
A3,18.41,7.5,65.64,37,14
B3,18.41,6.7,47.25,37,14
C3,18.41,5.1,20.45,37,14
D3,18.41,8.4,12.01,37,14
E3,18.41,6.4,18.96,37,14
F3,18.41,4.2,10.28,37,14
G3,18.41,4.5,31.79,37,14
A4,18.41,5.1,16.91,37,14
B4,18.41,6.6,32.63,37,14
C4,18.41,4.8,85.65,37,14
D4,18.41,7.9,85.63,37,14
E4,18.41,8.7,13.65,37,14
F4,18.41,7.2,53.35,37,14
G4,18.41,5.5,36.63,37,14
A5,18.41,8.5,72.28,37,14
B5,18.41,5.6,43.12,37,14
C5,18.41,7.7,92.5,37,14
D5,18.41,5.7,47.7,37,14
E5,18.41,5.6,62.95,37,14
F5,18.41,6,28.22,37,14
G5,18.41,6.2,50.65,37,14
A6,18.41,8.6,47.24,37,14
B6,18.41,8,45.49,37,14
C6,18.41,5.4,95.58,37,14
D6,18.41,5.5,63.3,37,14
E6,18.41,6.6,81.48,37,14
F6,18.41,4.4,93.36,37,14
G6,18.41,6.1,47.63,37,14
A7,18.41,8.7,65.55,37,14
B7,18.41,7.4,28.5,37,14
C7,18.41,6.4,99.29,37,14
D7,18.41,3.5,57.87,37,14
E7,18.41,7.4,12.56,37,14
F7,18.41,6.4,26.74,37,14
G7,18.41,8.1,35.83,37,14
A8,18.41,5.1,82.82,37,14
B8,18.41,7,22.17,37,14
C8,18.41,6.6,62.95,37,14
D8,18.41,6,97.43,37,14
E8,18.41,6.2,56.14,37,14
F8,18.41,7.2,27.08,37,14
G8,18.41,6,65.1,37,14
A9,18.41,7.1,19.8,37,14
B9,18.41,6.2,81.8,37,14
C9,18.41,5.4,28.6,37,14
D9,18.41,7.5,85.96,37,14
E9,18.41,3.9,19.2,37,14
F9,18.41,4,94.74,37,14
G9,18.41,8.6,98.47,37,14
A0,25.61,5.9,61.92,17,15
B0,25.61,7.1,49.44,17,15
C0,25.61,5.8,66.41,17,15
D0,25.61,7.4,24.62,17,15
E0,25.61,6,13.53,17,15
F0,25.61,7.7,20.35,17,15
G0,25.61,7.6,61.09,17,15
A1,25.61,7.3,60.01,17,15
B1,25.61,3.6,59.33,17,15
C1,25.61,5.8,66.71,17,15
D1,25.61,5.6,70.26,17,15
E1,25.61,4.3,56.55,17,15
F1,25.61,7.3,86.44,17,15
G1,25.61,3.8,93.97,17,15
A2,25.61,5.1,76.2,17,15
B2,25.61,8.1,96.4,17,15
C2,25.61,8.1,26.71,17,15
D2,25.61,7.2,53.09,17,15
E2,25.61,7.8,37.02,17,15
F2,25.61,6.8,98.66,17,15
G2,25.61,4,65.32,17,15
A3,25.61,5.2,60.24,17,15
B3,25.61,5.8,45.09,17,15
C3,25.61,5.5,36.74,17,15
D3,25.61,6.5,87.49,17,15
E3,25.61,5.4,58.26,17,15
F3,25.61,4.4,53,17,15
G3,25.61,8.1,25.91,17,15
A4,25.61,8.9,45.3,17,15
B4,25.61,8.6,43.12,17,15
C4,25.61,6.7,17.12,17,15
D4,25.61,7,78.35,17,15
E4,25.61,4.5,24.11,17,15
F4,25.61,8.1,99.67,17,15
G4,25.61,5.6,16.98,17,15
A5,25.61,5,34.09,17,15
B5,25.61,6.6,56.71,17,15
C5,25.61,5.8,31.58,17,15
D5,25.61,5,96.28,17,15
E5,25.61,6.5,21.14,17,15
F5,25.61,5.1,64.9,17,15
G5,25.61,3.8,48.51,17,15
A6,25.61,7.6,66.99,17,15
B6,25.61,6.8,88.93,17,15
C6,25.61,5,53.84,17,15
D6,25.61,6.1,24.05,17,15
E6,25.61,8.1,74.67,17,15
F6,25.61,4.9,66.37,17,15
G6,25.61,8.6,19.61,17,15
A7,25.61,8,30.21,17,15
B7,25.61,3.8,47.57,17,15
C7,25.61,5.6,96.88,17,15
D7,25.61,7.2,19.03,17,15
E7,25.61,5.9,48.51,17,15
F7,25.61,6.6,17.49,17,15
G7,25.61,7.3,15.03,17,15
A8,25.61,7.6,35.08,17,15
B8,25.61,5.1,18.74,17,15
C8,25.61,4.7,98.3,17,15
D8,25.61,8.8,21.2,17,15
E8,25.61,5.9,36.41,17,15
F8,25.61,6,11.19,17,15
G8,25.61,8.5,90.62,17,15
A9,25.61,7.4,60.76,17,15
B9,25.61,3.6,99.95,17,15
C9,25.61,9,36.64,17,15
D9,25.61,5.3,28.81,17,15
E9,25.61,8.9,43.29,17,15
F9,25.61,6.3,53.95,17,15
G9,25.61,5.6,89.01,17,15
A0,17.61,5.3,59.22,39,16
B0,17.61,8.9,19.65,39,16
C0,17.61,6.9,74.02,39,16
D0,17.61,4.9,35.44,39,16
E0,17.61,8,74.32,39,16
F0,17.61,7,69.16,39,16
G0,17.61,6.1,16.68,39,16
A1,17.61,6,58.73,39,16
B1,17.61,8.1,73.19,39,16
C1,17.61,6.5,38.84,39,16
D1,17.61,6.6,49.25,39,16
E1,17.61,4,24.31,39,16
F1,17.61,8.1,49.03,39,16
G1,17.61,3.7,61.31,39,16
A2,17.61,6,13.74,39,16
B2,17.61,7.8,62.12,39,16
C2,17.61,5.8,64.14,39,16
D2,17.61,5.5,15.27,39,16
E2,17.61,4,46.84,39,16
F2,17.61,7.7,47.34,39,16
G2,17.61,7.1,84.13,39,16
A3,17.61,4.3,68.61,39,16
B3,17.61,8.3,68.45,39,16
C3,17.61,8.2,14.55,39,16
D3,17.61,7,10.39,39,16
E3,17.61,3.8,53.56,39,16
F3,17.61,5.2,27.69,39,16
G3,17.61,6.7,38.5,39,16
A4,17.61,3.9,37.2,39,16
B4,17.61,7.7,96.48,39,16
C4,17.61,7.7,29.05,39,16
D4,17.61,6,72.51,39,16
E4,17.61,8,16.98,39,16
F4,17.61,4.9,65.05,39,16
G4,17.61,8.9,27.08,39,16
A5,17.61,3.5,95.73,39,16
B5,17.61,7.7,75.07,39,16
C5,17.61,4.8,87.49,39,16
D5,17.61,7.5,43.37,39,16
E5,17.61,5,66.77,39,16
F5,17.61,8.5,15.62,39,16
G5,17.61,7.4,71.14,39,16
A6,17.61,6.8,59.9,39,16
B6,17.61,4.2,59.92,39,16
C6,17.61,7.4,16,39,16
D6,17.61,5.2,74.02,39,16
E6,17.61,6.3,39.37,39,16
F6,17.61,8.2,92.09,39,16
G6,17.61,4.6,87.28,39,16
A7,17.61,3.7,52.03,39,16
B7,17.61,4.3,76.35,39,16
C7,17.61,4.8,92.55,39,16
D7,17.61,7.4,81.21,39,16
E7,17.61,7.4,84.52,39,16
F7,17.61,8.9,42.93,39,16
G7,17.61,6.9,14.35,39,16
A8,17.61,4.3,67.18,39,16
B8,17.61,7.2,69.59,39,16
C8,17.61,3.9,32.96,39,16
D8,17.61,6.5,89.54,39,16
E8,17.61,6.8,64.17,39,16
F8,17.61,3.7,20.91,39,16
G8,17.61,8.5,62.09,39,16
A9,17.61,8.4,69.71,39,16
B9,17.61,8.3,22.07,39,16
C9,17.61,4.1,75.59,39,16
D9,17.61,5.3,47.31,39,16
E9,17.61,6.4,24.52,39,16
F9,17.61,7.4,96.85,39,16
G9,17.61,8.8,41.23,39,16
A0,13.34,8.5,38.42,51,17
B0,13.34,7.2,38.53,51,17
C0,13.34,8.5,50.37,51,17
D0,13.34,7.1,69.49,51,17
E0,13.34,7.3,10.87,51,17
F0,13.34,7.3,53.64,51,17
G0,13.34,5,91.47,51,17
A1,13.34,6.2,87.14,51,17
B1,13.34,6.8,66.49,51,17
C1,13.34,8.7,24.17,51,17
D1,13.34,7.2,51.76,51,17
E1,13.34,8.7,37.92,51,17
F1,13.34,7.9,14.25,51,17
G1,13.34,5.4,58.51,51,17
A2,13.34,5.2,60.05,51,17
B2,13.34,3.9,27.27,51,17
C2,13.34,8.4,14.75,51,17
D2,13.34,7,72.62,51,17
E2,13.34,7.6,95.14,51,17
F2,13.34,4.7,23.05,51,17
G2,13.34,7.9,78.59,51,17
A3,13.34,7.2,44.11,51,17
B3,13.34,8.2,84.91,51,17
C3,13.34,4.2,18.64,51,17
D3,13.34,6.7,89.38,51,17
E3,13.34,8.7,48.66,51,17
F3,13.34,4.3,98.04,51,17
G3,13.34,6.9,56.48,51,17
A4,13.34,6.4,62.82,51,17
B4,13.34,4.9,66.48,51,17
C4,13.34,7.5,89.83,51,17
D4,13.34,7.3,18.31,51,17
E4,13.34,4.5,80.08,51,17
F4,13.34,7,31.63,51,17
G4,13.34,6.1,72.69,51,17
A5,13.34,6.5,94.91,51,17
B5,13.34,7.7,47.77,51,17
C5,13.34,5.8,37.66,51,17
D5,13.34,5.8,14.88,51,17
E5,13.34,6.6,19.96,51,17
F5,13.34,3.7,62.97,51,17
G5,13.34,4.6,96.2,51,17
A6,13.34,7.7,70.97,51,17
B6,13.34,5,16.54,51,17
C6,13.34,8.8,33.48,51,17
D6,13.34,3.6,31.26,51,17
E6,13.34,8.7,77.71,51,17
F6,13.34,6.9,72.78,51,17
G6,13.34,5.8,75.32,51,17
A7,13.34,6,86.8,51,17
B7,13.34,6.3,97.44,51,17
C7,13.34,8.3,64.08,51,17
D7,13.34,4.3,15.83,51,17
E7,13.34,8.3,12.09,51,17
F7,13.34,7.9,63.61,51,17
G7,13.34,5.5,22.44,51,17
A8,13.34,5,84.43,51,17
B8,13.34,5.6,98.04,51,17
C8,13.34,8.3,11.79,51,17
D8,13.34,7.3,16.08,51,17
E8,13.34,8.3,22,51,17
F8,13.34,5.3,80.81,51,17
G8,13.34,8.8,56.09,51,17
A9,13.34,8.5,78.21,51,17
B9,13.34,6.8,85.27,51,17
C9,13.34,3.8,72.28,51,17
D9,13.34,4.2,46.29,51,17
E9,13.34,6.4,92.94,51,17
F9,13.34,4.4,31.75,51,17
G9,13.34,4.2,76.48,51,17
A0,19.31,7,22.65,48,18
B0,19.31,8.7,75.94,48,18
C0,19.31,6.3,36.34,48,18
D0,19.31,6.2,35.71,48,18
E0,19.31,7.9,22.57,48,18
F0,19.31,5.4,85.35,48,18
G0,19.31,6.6,98.87,48,18
A1,19.31,5,72.73,48,18
B1,19.31,5,26.89,48,18
C1,19.31,3.9,26.92,48,18
D1,19.31,7,48.82,48,18
E1,19.31,6.1,96.28,48,18
F1,19.31,4.5,71.18,48,18
G1,19.31,6.9,58.78,48,18
A2,19.31,3.7,48.53,48,18
B2,19.31,8.7,50.82,48,18
C2,19.31,5.1,91.66,48,18
D2,19.31,6.4,50.54,48,18
E2,19.31,8.3,35.05,48,18
F2,19.31,4.7,42.91,48,18
G2,19.31,5.3,60.92,48,18
A3,19.31,5.7,77.16,48,18
B3,19.31,4.6,67.19,48,18
C3,19.31,6,42.24,48,18
D3,19.31,6.9,31.4,48,18
E3,19.31,5.6,78.72,48,18
F3,19.31,4.2,26.45,48,18
G3,19.31,7.7,80.37,48,18
A4,19.31,7.1,56.42,48,18
B4,19.31,4.2,36.08,48,18
C4,19.31,4.3,94.69,48,18
D4,19.31,5.2,18.84,48,18
E4,19.31,4.7,79.91,48,18
F4,19.31,3.5,27.15,48,18
G4,19.31,7.5,48.7,48,18
A5,19.31,5.9,26.26,48,18
B5,19.31,3.9,67.32,48,18
C5,19.31,4.9,80.66,48,18
D5,19.31,7.4,14.19,48,18
E5,19.31,6.6,84.51,48,18
F5,19.31,5.9,71.7,48,18
G5,19.31,8.6,70.8,48,18
A6,19.31,8.4,80.46,48,18
B6,19.31,4.1,54.17,48,18
C6,19.31,6,68.76,48,18
D6,19.31,8.8,35.95,48,18
E6,19.31,6,14.59,48,18
F6,19.31,3.7,61.44,48,18
G6,19.31,7.8,74.22,48,18
A7,19.31,7.1,53.56,48,18
B7,19.31,7,84.15,48,18
C7,19.31,6.6,12.84,48,18
D7,19.31,6.3,25.23,48,18
E7,19.31,5.8,55.49,48,18
F7,19.31,7.3,82.87,48,18
G7,19.31,8.7,98.01,48,18
A8,19.31,8,78.22,48,18
B8,19.31,8.4,30.32,48,18
C8,19.31,4.2,66.4,48,18
D8,19.31,8,26.25,48,18
E8,19.31,5.2,45.83,48,18
F8,19.31,3.8,81.93,48,18
G8,19.31,7.6,40.33,48,18
A9,19.31,7.7,39.35,48,18
B9,19.31,3.8,18.13,48,18
C9,19.31,6.7,53.29,48,18
D9,19.31,3.9,49.84,48,18
E9,19.31,6.9,34.33,48,18
F9,19.31,8.8,64.39,48,18
G9,19.31,5.3,78.42,48,18
A0,30.05,9,86.19,30,19
B0,30.05,7.8,81.58,30,19
C0,30.05,4.8,58.17,30,19
D0,30.05,5.2,50.36,30,19
E0,30.05,6.6,91.34,30,19
F0,30.05,7.5,26.78,30,19
G0,30.05,6.9,46.13,30,19
A1,30.05,7.2,38.03,30,19
B1,30.05,4.3,32.22,30,19
C1,30.05,5.6,21.27,30,19
D1,30.05,6,75.39,30,19
E1,30.05,8.7,41.34,30,19
F1,30.05,8,80.86,30,19
G1,30.05,8.7,66.51,30,19
A2,30.05,6.9,73.96,30,19
B2,30.05,6.9,54.64,30,19
C2,30.05,5,54.37,30,19
D2,30.05,5.3,79.78,30,19
E2,30.05,7.5,59.4,30,19
F2,30.05,8.8,11.91,30,19
G2,30.05,5.1,79.92,30,19
A3,30.05,7,58.05,30,19
B3,30.05,8.2,17.08,30,19
C3,30.05,3.8,67.77,30,19
D3,30.05,3.7,66.59,30,19
E3,30.05,4.6,93.6,30,19
F3,30.05,8.6,78.32,30,19
G3,30.05,4.5,49.95,30,19
A4,30.05,3.7,28.5,30,19
B4,30.05,4.7,64.41,30,19
C4,30.05,7.2,12.09,30,19
D4,30.05,6.5,28.26,30,19
E4,30.05,4.5,37.52,30,19
F4,30.05,6.2,81.69,30,19
G4,30.05,6.1,76.18,30,19
A5,30.05,5.9,59.32,30,19
B5,30.05,4.5,21.45,30,19
C5,30.05,6.4,14.71,30,19
D5,30.05,3.6,60.47,30,19
E5,30.05,6.2,21.46,30,19
F5,30.05,5,98.55,30,19
G5,30.05,4.3,97.3,30,19
A6,30.05,8.6,26.68,30,19
B6,30.05,5.9,46.74,30,19
C6,30.05,4.5,42.05,30,19
D6,30.05,7.6,95.53,30,19
E6,30.05,5.1,59.87,30,19
F6,30.05,7.8,61.72,30,19
G6,30.05,6.4,68.7,30,19
A7,30.05,7.7,88.23,30,19
B7,30.05,7.3,25.21,30,19
C7,30.05,4.1,85.79,30,19
D7,30.05,6.7,37.29,30,19
E7,30.05,7.7,95.91,30,19
F7,30.05,4.8,85.18,30,19
G7,30.05,7.4,84.91,30,19
A8,30.05,3.6,36.83,30,19
B8,30.05,7.3,45.6,30,19
C8,30.05,7.2,94.6,30,19
D8,30.05,5.1,22.6,30,19
E8,30.05,5.5,67.11,30,19
F8,30.05,6.7,15.13,30,19
G8,30.05,5.6,41.41,30,19
A9,30.05,3.9,45.35,30,19
B9,30.05,6,25.72,30,19
C9,30.05,8.2,99.53,30,19
D9,30.05,5.5,21.55,30,19
E9,30.05,7.3,18.48,30,19
F9,30.05,5.6,26.15,30,19
G9,30.05,6.1,57.98,30,19
A0,20.92,8.8,67.2,17,20
B0,20.92,6.5,65.63,17,20
C0,20.92,5.6,12.93,17,20
D0,20.92,6.2,67.07,17,20
E0,20.92,8.2,96.42,17,20
F0,20.92,8.7,65.06,17,20
G0,20.92,8.6,98.63,17,20
A1,20.92,6.9,37.08,17,20
B1,20.92,8.2,93.45,17,20
C1,20.92,8.3,17.24,17,20
D1,20.92,6.7,13.03,17,20
E1,20.92,6.7,30.11,17,20
F1,20.92,4.8,27.83,17,20
G1,20.92,7.6,25.51,17,20
A2,20.92,3.8,22.18,17,20
B2,20.92,5.9,13.01,17,20
C2,20.92,6.6,49.59,17,20
D2,20.92,8.7,67.59,17,20
E2,20.92,3.8,88.78,17,20
F2,20.92,6.4,20.39,17,20
G2,20.92,4.1,60.17,17,20
A3,20.92,6.3,18.61,17,20
B3,20.92,8.6,33.3,17,20
C3,20.92,8.4,88.38,17,20
D3,20.92,6.1,18.42,17,20
E3,20.92,8.6,77,17,20
F3,20.92,6,13.57,17,20
G3,20.92,5,24.61,17,20
A4,20.92,7.9,13.62,17,20
B4,20.92,7.2,75.27,17,20
C4,20.92,6.6,31.42,17,20
D4,20.92,7.6,76.88,17,20
E4,20.92,4.7,87.01,17,20
F4,20.92,4.1,41.93,17,20
G4,20.92,3.6,63.57,17,20
A5,20.92,8.2,92.8,17,20
B5,20.92,8.8,78.99,17,20
C5,20.92,3.6,34.19,17,20
D5,20.92,6.9,98.7,17,20
E5,20.92,5.6,69.39,17,20
F5,20.92,8.5,22.4,17,20
G5,20.92,3.7,13.4,17,20
A6,20.92,7.6,42.22,17,20
B6,20.92,6.2,75.64,17,20
C6,20.92,8.3,15.9,17,20
D6,20.92,8.4,25.8,17,20
E6,20.92,7,91.71,17,20
F6,20.92,4.7,90.49,17,20
G6,20.92,5.9,43.88,17,20
A7,20.92,7.8,44.93,17,20
B7,20.92,5.8,84.57,17,20
C7,20.92,5.2,49.25,17,20
D7,20.92,6.2,92.99,17,20
E7,20.92,8.1,20.24,17,20
F7,20.92,8.3,79.44,17,20
G7,20.92,5.9,13.43,17,20
A8,20.92,8,92.62,17,20
B8,20.92,5.4,28.48,17,20
C8,20.92,5.2,24.94,17,20
D8,20.92,4.3,34.34,17,20
E8,20.92,5.8,36.26,17,20
F8,20.92,6.1,21.97,17,20
G8,20.92,5.7,35.78,17,20
A9,20.92,8.2,31.58,17,20
B9,20.92,7.4,79.82,17,20
C9,20.92,3.9,73.22,17,20
D9,20.92,4.9,28.29,17,20
E9,20.92,7.2,76.22,17,20
F9,20.92,5.2,25.84,17,20
G9,20.92,7.5,31.86,17,20
A0,28.88,8.7,57.33,44,21
B0,28.88,7.6,33.75,44,21
C0,28.88,8.8,83.38,44,21
D0,28.88,4.4,96.2,44,21
E0,28.88,5,66.34,44,21
F0,28.88,8.7,31.12,44,21
G0,28.88,3.6,72.5,44,21
A1,28.88,8.1,45.81,44,21
B1,28.88,5.9,87.52,44,21
C1,28.88,7.7,92.85,44,21
D1,28.88,8.1,62.68,44,21
E1,28.88,6.6,59.68,44,21
F1,28.88,7.4,39.47,44,21
G1,28.88,7.9,50.13,44,21
A2,28.88,8.7,87.7,44,21
B2,28.88,4,17.39,44,21
C2,28.88,8,45.39,44,21
D2,28.88,5.1,98.97,44,21
E2,28.88,6.6,97.85,44,21
F2,28.88,6.1,37,44,21
G2,28.88,8.8,26.2,44,21
A3,28.88,7,94.76,44,21
B3,28.88,4.1,12.53,44,21
C3,28.88,8.4,55.46,44,21
D3,28.88,3.9,28.33,44,21
E3,28.88,3.8,80.28,44,21
F3,28.88,5,11.08,44,21
G3,28.88,8,21,44,21
A4,28.88,6.1,34.57,44,21
B4,28.88,7.9,87.28,44,21
C4,28.88,4,62.64,44,21
D4,28.88,4.2,56.79,44,21
E4,28.88,5.2,72.22,44,21
F4,28.88,3.7,10.38,44,21
G4,28.88,8.3,37.2,44,21
A5,28.88,4.7,23.14,44,21
B5,28.88,5.5,58.24,44,21
C5,28.88,6.3,77.03,44,21
D5,28.88,7.4,68.43,44,21
E5,28.88,5.2,62.43,44,21
F5,28.88,5.3,51.79,44,21
G5,28.88,8,73.55,44,21
A6,28.88,7.2,53.36,44,21
B6,28.88,6.7,76.13,44,21
C6,28.88,4.5,32.34,44,21
D6,28.88,6.7,68.38,44,21
E6,28.88,8.9,66.32,44,21
F6,28.88,3.6,78.45,44,21
G6,28.88,8.5,77.5,44,21
A7,28.88,6.1,47.45,44,21
B7,28.88,4.8,66.69,44,21
C7,28.88,9,21.01,44,21
D7,28.88,7.5,46.57,44,21
E7,28.88,5.2,12.74,44,21
F7,28.88,8,46.82,44,21
G7,28.88,5.5,67.95,44,21
A8,28.88,4,93.08,44,21
B8,28.88,8.4,17.74,44,21
C8,28.88,4,38.25,44,21
D8,28.88,7.2,83.76,44,21
E8,28.88,6.5,16.2,44,21
F8,28.88,5,20.83,44,21
G8,28.88,7.9,28.01,44,21
A9,28.88,4.3,39.39,44,21
B9,28.88,5,84.38,44,21
C9,28.88,7.5,17.89,44,21
D9,28.88,3.7,89.44,44,21
E9,28.88,4.6,72.93,44,21
F9,28.88,3.6,28.74,44,21
G9,28.88,6.5,32.2,44,21
A0,11.03,8.3,94.87,43,22
B0,11.03,5,22.19,43,22
C0,11.03,6.3,78.83,43,22
D0,11.03,8.9,15,43,22
E0,11.03,7.7,75.73,43,22
F0,11.03,4.1,42.49,43,22
G0,11.03,8.2,97.97,43,22
A1,11.03,8.7,45.98,43,22
B1,11.03,5.1,48.3,43,22
C1,11.03,8.9,11.9,43,22
D1,11.03,8.2,44,43,22
E1,11.03,4.1,60.69,43,22
F1,11.03,6.7,23.31,43,22
G1,11.03,5.9,51.36,43,22
A2,11.03,8.3,98.15,43,22
B2,11.03,7.2,89.64,43,22
C2,11.03,7.7,99.79,43,22
D2,11.03,7.7,76.25,43,22
